"Catalog / Data Sheet","Part No.","Status","Brand","Apps.","Feature","L x W Size","T(Max.) / mm","Capacitance","Tolerance","Rated Voltage [DC] / V","Temp. Chara.","Operating Temp. Range / °C","Cap.Change or Temp.Coef.","AEC- Q200"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x5r1h105k080ab.pdf","CGA3E3X5R1H105K080AB Equiv. C1608X5R1H105K for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.6mm x 0.8mm [EIA 0603]","0.9","1μF","±10%","50","X5R","-55 to 85","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x5r1h105m080ab.pdf","CGA3E3X5R1H105M080AB Equiv. C1608X5R1H105M for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.6mm x 0.8mm [EIA 0603]","0.9","1μF","±20%","50","X5R","-55 to 85","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x5r1h154k080ab.pdf","CGA3E3X5R1H154K080AB Equiv. C1608X5R1H154K for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.6mm x 0.8mm [EIA 0603]","0.9","150nF","±10%","50","X5R","-55 to 85","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x5r1h154m080ab.pdf","CGA3E3X5R1H154M080AB Equiv. C1608X5R1H154M for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.6mm x 0.8mm [EIA 0603]","0.9","150nF","±20%","50","X5R","-55 to 85","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x5r1h224k080ab_200109.pdf","CGA3E3X5R1H224K080AB Equiv. C1608X5R1H224K for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.6mm x 0.8mm [EIA 0603]","0.9","220nF","±10%","50","X5R","-55 to 85","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x5r1h224m080ab_200109.pdf","CGA3E3X5R1H224M080AB Equiv. C1608X5R1H224M for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.6mm x 0.8mm [EIA 0603]","0.9","220nF","±20%","50","X5R","-55 to 85","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x5r1h334k080ab_200110.pdf","CGA3E3X5R1H334K080AB Equiv. C1608X5R1H334K for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.6mm x 0.8mm [EIA 0603]","0.9","330nF","±10%","50","X5R","-55 to 85","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x5r1h334m080ab_200110.pdf","CGA3E3X5R1H334M080AB Equiv. C1608X5R1H334M for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.6mm x 0.8mm [EIA 0603]","0.9","330nF","±20%","50","X5R","-55 to 85","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x5r1h474k080ab.pdf","CGA3E3X5R1H474K080AB Equiv. C1608X5R1H474K for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.6mm x 0.8mm [EIA 0603]","0.9","470nF","±10%","50","X5R","-55 to 85","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x5r1h474m080ab.pdf","CGA3E3X5R1H474M080AB Equiv. C1608X5R1H474M for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.6mm x 0.8mm [EIA 0603]","0.9","470nF","±20%","50","X5R","-55 to 85","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x5r1h684k080ab.pdf","CGA3E3X5R1H684K080AB Equiv. C1608X5R1H684K for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.6mm x 0.8mm [EIA 0603]","0.9","680nF","±10%","50","X5R","-55 to 85","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x5r1h684m080ab.pdf","CGA3E3X5R1H684M080AB Equiv. C1608X5R1H684M for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.6mm x 0.8mm [EIA 0603]","0.9","680nF","±20%","50","X5R","-55 to 85","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x5r1v105k080ab.pdf","CGA3E3X5R1V105K080AB Equiv. C1608X5R1V105K for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.6mm x 0.8mm [EIA 0603]","0.9","1μF","±10%","35","X5R","-55 to 85","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x5r1v105m080ab.pdf","CGA3E3X5R1V105M080AB Equiv. C1608X5R1V105M for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.6mm x 0.8mm [EIA 0603]","0.9","1μF","±20%","35","X5R","-55 to 85","±15%","YES"
