"Catalog / Data Sheet","Part No.","Status","Brand","Apps.","Feature","L x W Size","T(Max.) / mm","Capacitance","Tolerance","Rated Voltage [DC] / V","Temp. Chara.","Operating Temp. Range / °C","Cap.Change or Temp.Coef.","AEC- Q200"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2x7r1e471k030ba.pdf","CGA1A2X7R1E471K030BA Equiv. C0603X7R1E471K for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","470pF","±10%","25","X7R","-55 to 125","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2x7r1e471m030ba.pdf","CGA1A2X7R1E471M030BA Equiv. C0603X7R1E471M for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","470pF","±20%","25","X7R","-55 to 125","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2x7r1e681k030ba.pdf","CGA1A2X7R1E681K030BA Equiv. C0603X7R1E681K for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","680pF","±10%","25","X7R","-55 to 125","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2x7r1e681m030ba.pdf","CGA1A2X7R1E681M030BA Equiv. C0603X7R1E681M for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","680pF","±20%","25","X7R","-55 to 125","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2x7r1h101k030ba.pdf","CGA1A2X7R1H101K030BA Equiv. C0603X7R1H101K for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","100pF","±10%","50","X7R","-55 to 125","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2x7r1h101m030ba.pdf","CGA1A2X7R1H101M030BA Equiv. C0603X7R1H101M for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","100pF","±20%","50","X7R","-55 to 125","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2x7r1h151k030ba.pdf","CGA1A2X7R1H151K030BA Equiv. C0603X7R1H151K for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","150pF","±10%","50","X7R","-55 to 125","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2x7r1h151m030ba.pdf","CGA1A2X7R1H151M030BA Equiv. C0603X7R1H151M for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","150pF","±20%","50","X7R","-55 to 125","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2x7r1h221k030ba.pdf","CGA1A2X7R1H221K030BA Equiv. C0603X7R1H221K for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","220pF","±10%","50","X7R","-55 to 125","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2x7r1h221m030ba.pdf","CGA1A2X7R1H221M030BA Equiv. C0603X7R1H221M for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","220pF","±20%","50","X7R","-55 to 125","±15%","YES"
