"Catalog / Data Sheet","Part No.","Status","Brand","Apps.","Feature","L x W Size","T(Max.) / mm","Capacitance","Tolerance","Rated Voltage [DC] / V","Temp. Chara.","Operating Temp. Range / °C","Cap.Change or Temp.Coef.","AEC- Q200"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1h120j030ba.pdf","CGA1A2C0G1H120J030BA Equiv. C0603C0G1H120J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","12pF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1h150j030ba.pdf","CGA1A2C0G1H150J030BA Equiv. C0603C0G1H150J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","15pF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1h180j030ba.pdf","CGA1A2C0G1H180J030BA Equiv. C0603C0G1H180J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","18pF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1h1r5c030ba.pdf","CGA1A2C0G1H1R5C030BA Equiv. C0603C0G1H1R5C for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","1.5pF","±0.25pF","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1h220j030ba.pdf","CGA1A2C0G1H220J030BA Equiv. C0603C0G1H220J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","22pF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1h270j030ba.pdf","CGA1A2C0G1H270J030BA Equiv. C0603C0G1H270J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","27pF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1h2r2c030ba.pdf","CGA1A2C0G1H2R2C030BA Equiv. C0603C0G1H2R2C for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","2.2pF","±0.25pF","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1h330j030ba.pdf","CGA1A2C0G1H330J030BA Equiv. C0603C0G1H330J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","33pF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1h390j030ba.pdf","CGA1A2C0G1H390J030BA Equiv. C0603C0G1H390J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","39pF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1h3r3c030ba.pdf","CGA1A2C0G1H3R3C030BA Equiv. C0603C0G1H3R3C for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","3.3pF","±0.25pF","50","C0G","-55 to 125","0±30ppm/°C","YES"
