"Catalog / Data Sheet","Part No.","Status","Brand","Apps.","Feature","L x W Size","T(Max.) / mm","Capacitance","Tolerance","Rated Voltage [DC] / V","Temp. Chara.","Operating Temp. Range / °C","Cap.Change or Temp.Coef.","AEC- Q200"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b2c0g1h680j050ba.pdf","CGA2B2C0G1H680J050BA Equiv. C1005C0G1H680J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.0mm x 0.5mm [EIA 0402]","0.55","68pF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b2c0g1h680j050bd.pdf","CGA2B2C0G1H680J050BD Equiv. C1005C0G1H680J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Conductive Epoxy Application","1.0mm x 0.5mm [EIA 0402]","0.6","68pF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b2c0g1h681j050ba.pdf","CGA2B2C0G1H681J050BA Equiv. C1005C0G1H681J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.0mm x 0.5mm [EIA 0402]","0.55","680pF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b2c0g1h681j050bd.pdf","CGA2B2C0G1H681J050BD Equiv. C1005C0G1H681J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Conductive Epoxy Application","1.0mm x 0.5mm [EIA 0402]","0.6","680pF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b2c0g1h681j050be.pdf","CGA2B2C0G1H681J050BE Equiv. C1005C0G1H681J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Soft Termination","1.0mm x 0.5mm [EIA 0402]","0.6","680pF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b2c0g1h6r8d050ba.pdf","CGA2B2C0G1H6R8D050BA Equiv. C1005C0G1H6R8D for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.0mm x 0.5mm [EIA 0402]","0.55","6.8pF","±0.5pF","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b2c0g1h820j050ba.pdf","CGA2B2C0G1H820J050BA Equiv. C1005C0G1H820J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.0mm x 0.5mm [EIA 0402]","0.55","82pF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b2c0g1h821j050ba.pdf","CGA2B2C0G1H821J050BA Equiv. C1005C0G1H821J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.0mm x 0.5mm [EIA 0402]","0.55","820pF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_midvoltage_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b2c0g2a101j050ba.pdf","CGA2B2C0G2A101J050BA Equiv. C1005C0G2A101J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V)","1.0mm x 0.5mm [EIA 0402]","0.55","100pF","±5%","100","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b2c0g2a101j050be.pdf","CGA2B2C0G2A101J050BE Equiv. C1005C0G2A101J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V) Soft Termination","1.0mm x 0.5mm [EIA 0402]","0.6","100pF","±5%","100","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_midvoltage_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b2c0g2a151j050ba.pdf","CGA2B2C0G2A151J050BA Equiv. C1005C0G2A151J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V)","1.0mm x 0.5mm [EIA 0402]","0.55","150pF","±5%","100","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b2c0g2a151j050be.pdf","CGA2B2C0G2A151J050BE Equiv. C1005C0G2A151J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V) Soft Termination","1.0mm x 0.5mm [EIA 0402]","0.6","150pF","±5%","100","C0G","-55 to 125","0±30ppm/°C","YES"
