"Catalog / Data Sheet","Part No.","Status","Brand","Apps.","Feature","L x W Size","T(Max.) / mm","Capacitance","Tolerance","Rated Voltage [DC] / V","Temp. Chara.","Operating Temp. Range / °C","Cap.Change or Temp.Coef.","AEC- Q200"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_hightemp_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x8r1h104m080ab.pdf","CGA3E3X8R1H104M080AB Equiv. C1608X8R1H104M for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application","1.6mm x 0.8mm [EIA 0603]","0.9","100nF","±20%","50","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x8r1h104m080ad.pdf","CGA3E3X8R1H104M080AD Equiv. C1608X8R1H104M for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application Conductive Epoxy Application","1.6mm x 0.8mm [EIA 0603]","0.95","100nF","±20%","50","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x8r1h104m080ae.pdf","CGA3E3X8R1H104M080AE Equiv. C1608X8R1H104M for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application Soft Termination","1.6mm x 0.8mm [EIA 0603]","0.95","100nF","±20%","50","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_hightemp_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x8r2a223k080ab.pdf","CGA3E3X8R2A223K080AB Equiv. C1608X8R2A223K for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V) High Temperature Application","1.6mm x 0.8mm [EIA 0603]","0.9","22nF","±10%","100","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x8r2a223k080ad.pdf","CGA3E3X8R2A223K080AD Equiv. C1608X8R2A223K for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V) High Temperature Application Conductive Epoxy Application","1.6mm x 0.8mm [EIA 0603]","0.95","22nF","±10%","100","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x8r2a223k080ae.pdf","CGA3E3X8R2A223K080AE Equiv. C1608X8R2A223K for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V) High Temperature Application Soft Termination","1.6mm x 0.8mm [EIA 0603]","0.95","22nF","±10%","100","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_hightemp_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x8r2a223m080ab.pdf","CGA3E3X8R2A223M080AB Equiv. C1608X8R2A223M for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V) High Temperature Application","1.6mm x 0.8mm [EIA 0603]","0.9","22nF","±20%","100","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x8r2a223m080ad.pdf","CGA3E3X8R2A223M080AD Equiv. C1608X8R2A223M for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V) High Temperature Application Conductive Epoxy Application","1.6mm x 0.8mm [EIA 0603]","0.95","22nF","±20%","100","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x8r2a223m080ae.pdf","CGA3E3X8R2A223M080AE Equiv. C1608X8R2A223M for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V) High Temperature Application Soft Termination","1.6mm x 0.8mm [EIA 0603]","0.95","22nF","±20%","100","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_hightemp_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e3x8r2a333k080ab.pdf","CGA3E3X8R2A333K080AB Equiv. C1608X8R2A333K for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V) High Temperature Application","1.6mm x 0.8mm [EIA 0603]","0.9","33nF","±10%","100","X8R","-55 to 150","±15%","YES"
