"Catalog / Data Sheet","Part No.","Status","Brand","Apps.","Feature","L x W Size","T(Max.) / mm","Capacitance","Tolerance","Rated Voltage [DC] / V","Temp. Chara.","Operating Temp. Range / °C","Cap.Change or Temp.Coef.","AEC- Q200"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e330j030ba.pdf","CGA1A2C0G1E330J030BA Equiv. C0603C0G1E330J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","33pF","±5%","25","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e390j030ba.pdf","CGA1A2C0G1E390J030BA Equiv. C0603C0G1E390J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","39pF","±5%","25","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e3r3c030ba.pdf","CGA1A2C0G1E3R3C030BA Equiv. C0603C0G1E3R3C for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","3.3pF","±0.25pF","25","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e470j030ba.pdf","CGA1A2C0G1E470J030BA Equiv. C0603C0G1E470J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","47pF","±5%","25","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e4r7c030ba.pdf","CGA1A2C0G1E4R7C030BA Equiv. C0603C0G1E4R7C for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","4.7pF","±0.25pF","25","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e560j030ba.pdf","CGA1A2C0G1E560J030BA Equiv. C0603C0G1E560J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","56pF","±5%","25","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e680j030ba.pdf","CGA1A2C0G1E680J030BA Equiv. C0603C0G1E680J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","68pF","±5%","25","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e6r8d030ba.pdf","CGA1A2C0G1E6R8D030BA Equiv. C0603C0G1E6R8D for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","6.8pF","±0.5pF","25","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1e820j030ba.pdf","CGA1A2C0G1E820J030BA Equiv. C0603C0G1E820J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","82pF","±5%","25","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga1a2c0g1h010c030ba.pdf","CGA1A2C0G1H010C030BA Equiv. C0603C0G1H010C for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","0.6mm x 0.3mm [EIA 0201]","0.33","1pF","±0.25pF","50","C0G","-55 to 125","0±30ppm/°C","YES"
