"Catalog / Data Sheet","Part No.","Status","Brand","Apps.","Feature","L x W Size","T(Max.) / mm","Capacitance","Tolerance","Rated Voltage [DC] / V","Temp. Chara.","Operating Temp. Range / °C","Cap.Change or Temp.Coef.","AEC- Q200"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_midvoltage_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j3x7r2e223k125aa.pdf","CGA4J3X7R2E223K125AA Equiv. C2012X7R2E223K for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V)","2.0mm x 1.25mm [EIA 0805]","1.45","22nF","±10%","250","X7R","-55 to 125","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j3x7r2e223k125ae.pdf","CGA4J3X7R2E223K125AE Equiv. C2012X7R2E223K for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V) Soft Termination","2.0mm x 1.25mm [EIA 0805]","1.5","22nF","±10%","250","X7R","-55 to 125","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_midvoltage_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j3x7r2e223m125aa.pdf","CGA4J3X7R2E223M125AA Equiv. C2012X7R2E223M for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V)","2.0mm x 1.25mm [EIA 0805]","1.45","22nF","±20%","250","X7R","-55 to 125","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j3x7r2e223m125ae.pdf","CGA4J3X7R2E223M125AE Equiv. C2012X7R2E223M for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V) Soft Termination","2.0mm x 1.25mm [EIA 0805]","1.5","22nF","±20%","250","X7R","-55 to 125","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j3x7s1a106k125ab_210116.pdf","CGA4J3X7S1A106K125AB Equiv. C2012X7S1A106K for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","2.0mm x 1.25mm [EIA 0805]","1.45","10μF","±10%","10","X7S","-55 to 125","±22%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j3x7s1a106k125ae_210116.pdf","CGA4J3X7S1A106K125AE Equiv. C2012X7S1A106K for Auto","Production","TDK","Automotive Grade","AEC-Q200 Soft Termination","2.0mm x 1.25mm [EIA 0805]","1.5","10μF","±10%","10","X7S","-55 to 125","±22%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j3x7s1a106m125ab_210116.pdf","CGA4J3X7S1A106M125AB Equiv. C2012X7S1A106M for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","2.0mm x 1.25mm [EIA 0805]","1.45","10μF","±20%","10","X7S","-55 to 125","±22%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j3x7s1a106m125ae_210116.pdf","CGA4J3X7S1A106M125AE Equiv. C2012X7S1A106M for Auto","Production","TDK","Automotive Grade","AEC-Q200 Soft Termination","2.0mm x 1.25mm [EIA 0805]","1.5","10μF","±20%","10","X7S","-55 to 125","±22%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j3x7s1a685k125ab_210115.pdf","CGA4J3X7S1A685K125AB Equiv. C2012X7S1A685K for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","2.0mm x 1.25mm [EIA 0805]","1.45","6.8μF","±10%","10","X7S","-55 to 125","±22%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j3x7s1a685m125ab_210115.pdf","CGA4J3X7S1A685M125AB Equiv. C2012X7S1A685M for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","2.0mm x 1.25mm [EIA 0805]","1.45","6.8μF","±20%","10","X7S","-55 to 125","±22%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_midvoltage_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j3x7s2a105k125ab.pdf","CGA4J3X7S2A105K125AB Equiv. C2012X7S2A105K for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V)","2.0mm x 1.25mm [EIA 0805]","1.45","1μF","±10%","100","X7S","-55 to 125","±22%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j3x7s2a105k125ae.pdf","CGA4J3X7S2A105K125AE Equiv. C2012X7S2A105K for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V) Soft Termination","2.0mm x 1.25mm [EIA 0805]","1.5","1μF","±10%","100","X7S","-55 to 125","±22%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_midvoltage_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j3x7s2a105m125ab.pdf","CGA4J3X7S2A105M125AB Equiv. C2012X7S2A105M for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V)","2.0mm x 1.25mm [EIA 0805]","1.45","1μF","±20%","100","X7S","-55 to 125","±22%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j3x7s2a105m125ae.pdf","CGA4J3X7S2A105M125AE Equiv. C2012X7S2A105M for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V) Soft Termination","2.0mm x 1.25mm [EIA 0805]","1.5","1μF","±20%","100","X7S","-55 to 125","±22%","YES"
