"Catalog / Data Sheet","Part No.","Status","Brand","Apps.","Feature","L x W Size","T(Max.) / mm","Capacitance","Tolerance","Rated Voltage [DC] / V","Temp. Chara.","Operating Temp. Range / °C","Cap.Change or Temp.Coef.","AEC- Q200"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e2c0g1h103j080ad.pdf","CGA3E2C0G1H103J080AD Equiv. C1608C0G1H103J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Conductive Epoxy Application","1.6mm x 0.8mm [EIA 0603]","0.95","10nF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e2c0g1h103j080ae.pdf","CGA3E2C0G1H103J080AE Equiv. C1608C0G1H103J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Soft Termination","1.6mm x 0.8mm [EIA 0603]","0.95","10nF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e2c0g1h120j080aa.pdf","CGA3E2C0G1H120J080AA Equiv. C1608C0G1H120J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.6mm x 0.8mm [EIA 0603]","0.9","12pF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e2c0g1h121j080aa.pdf","CGA3E2C0G1H121J080AA Equiv. C1608C0G1H121J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.6mm x 0.8mm [EIA 0603]","0.9","120pF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e2c0g1h122j080aa.pdf","CGA3E2C0G1H122J080AA Equiv. C1608C0G1H122J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.6mm x 0.8mm [EIA 0603]","0.9","1.2nF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e2c0g1h122j080ad.pdf","CGA3E2C0G1H122J080AD Equiv. C1608C0G1H122J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Conductive Epoxy Application","1.6mm x 0.8mm [EIA 0603]","0.95","1.2nF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e2c0g1h122j080ae.pdf","CGA3E2C0G1H122J080AE Equiv. C1608C0G1H122J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Soft Termination","1.6mm x 0.8mm [EIA 0603]","0.95","1.2nF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e2c0g1h150j080aa.pdf","CGA3E2C0G1H150J080AA Equiv. C1608C0G1H150J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.6mm x 0.8mm [EIA 0603]","0.9","15pF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e2c0g1h150j080ad.pdf","CGA3E2C0G1H150J080AD Equiv. C1608C0G1H150J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Conductive Epoxy Application","1.6mm x 0.8mm [EIA 0603]","0.95","15pF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e2c0g1h151j080aa.pdf","CGA3E2C0G1H151J080AA Equiv. C1608C0G1H151J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.6mm x 0.8mm [EIA 0603]","0.9","150pF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
