"Catalog / Data Sheet","Part No.","Status","Brand","Apps.","Feature","L x W Size","T(Max.) / mm","Capacitance","Tolerance","Rated Voltage [DC] / V","Temp. Chara.","Operating Temp. Range / °C","Cap.Change or Temp.Coef.","AEC- Q200"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_hightemp_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e2x8r1e104k080aa.pdf","CGA3E2X8R1E104K080AA Equiv. C1608X8R1E104K for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application","1.6mm x 0.8mm [EIA 0603]","0.9","100nF","±10%","25","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e2x8r1e104k080ad.pdf","CGA3E2X8R1E104K080AD Equiv. C1608X8R1E104K for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application Conductive Epoxy Application","1.6mm x 0.8mm [EIA 0603]","0.95","100nF","±10%","25","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e2x8r1e104k080ae.pdf","CGA3E2X8R1E104K080AE Equiv. C1608X8R1E104K for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application Soft Termination","1.6mm x 0.8mm [EIA 0603]","0.95","100nF","±10%","25","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_hightemp_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e2x8r1e104m080aa.pdf","CGA3E2X8R1E104M080AA Equiv. C1608X8R1E104M for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application","1.6mm x 0.8mm [EIA 0603]","0.9","100nF","±20%","25","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e2x8r1e104m080ad.pdf","CGA3E2X8R1E104M080AD Equiv. C1608X8R1E104M for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application Conductive Epoxy Application","1.6mm x 0.8mm [EIA 0603]","0.95","100nF","±20%","25","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e2x8r1e104m080ae.pdf","CGA3E2X8R1E104M080AE Equiv. C1608X8R1E104M for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application Soft Termination","1.6mm x 0.8mm [EIA 0603]","0.95","100nF","±20%","25","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_hightemp_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e2x8r1h102k080aa.pdf","CGA3E2X8R1H102K080AA Equiv. C1608X8R1H102K for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application","1.6mm x 0.8mm [EIA 0603]","0.9","1nF","±10%","50","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e2x8r1h102k080ad.pdf","CGA3E2X8R1H102K080AD Equiv. C1608X8R1H102K for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application Conductive Epoxy Application","1.6mm x 0.8mm [EIA 0603]","0.95","1nF","±10%","50","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e2x8r1h102k080ae.pdf","CGA3E2X8R1H102K080AE Equiv. C1608X8R1H102K for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application Soft Termination","1.6mm x 0.8mm [EIA 0603]","0.95","1nF","±10%","50","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_hightemp_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e2x8r1h102m080aa.pdf","CGA3E2X8R1H102M080AA Equiv. C1608X8R1H102M for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application","1.6mm x 0.8mm [EIA 0603]","0.9","1nF","±20%","50","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga3e2x8r1h102m080ad.pdf","CGA3E2X8R1H102M080AD Equiv. C1608X8R1H102M for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application Conductive Epoxy Application","1.6mm x 0.8mm [EIA 0603]","0.95","1nF","±20%","50","X8R","-55 to 150","±15%","YES"
