"Catalog / Data Sheet","Part No.","Status","Brand","Apps.","Feature","L x W Size","T(Max.) / mm","Capacitance","Tolerance","Rated Voltage [DC] / V","Temp. Chara.","Operating Temp. Range / °C","Cap.Change or Temp.Coef.","AEC- Q200"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_hightemp_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j1x8l1h684k125ac_200628.pdf","CGA4J1X8L1H684K125AC Equiv. C2012X8L1H684K for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application","2.0mm x 1.25mm [EIA 0805]","1.45","680nF","±10%","50","X8L","-55 to 150","+15,-40%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_hightemp_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j1x8l1v225k125ac_210118.pdf","CGA4J1X8L1V225K125AC Equiv. C2012X8L1V225K for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application","2.0mm x 1.25mm [EIA 0805]","1.45","2.2μF","±10%","35","X8L","-55 to 150","+15,-40%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j1x8l1v225k125ae_210118.pdf","CGA4J1X8L1V225K125AE Equiv. C2012X8L1V225K for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application Soft Termination","2.0mm x 1.25mm [EIA 0805]","1.5","2.2μF","±10%","35","X8L","-55 to 150","+15,-40%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_hightemp_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j1x8r1e105k125ac.pdf","CGA4J1X8R1E105K125AC Equiv. C2012X8R1E105K for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application","2.0mm x 1.25mm [EIA 0805]","1.45","1μF","±10%","25","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j1x8r1e105k125ad.pdf","CGA4J1X8R1E105K125AD Equiv. C2012X8R1E105K for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application Conductive Epoxy Application","2.0mm x 1.25mm [EIA 0805]","1.5","1μF","±10%","25","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j1x8r1e105k125ae.pdf","CGA4J1X8R1E105K125AE Equiv. C2012X8R1E105K for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application Soft Termination","2.0mm x 1.25mm [EIA 0805]","1.5","1μF","±10%","25","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_hightemp_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j1x8r1e105m125ac.pdf","CGA4J1X8R1E105M125AC Equiv. C2012X8R1E105M for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application","2.0mm x 1.25mm [EIA 0805]","1.45","1μF","±20%","25","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j1x8r1e105m125ad.pdf","CGA4J1X8R1E105M125AD Equiv. C2012X8R1E105M for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application Conductive Epoxy Application","2.0mm x 1.25mm [EIA 0805]","1.5","1μF","±20%","25","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j1x8r1e105m125ae.pdf","CGA4J1X8R1E105M125AE Equiv. C2012X8R1E105M for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application Soft Termination","2.0mm x 1.25mm [EIA 0805]","1.5","1μF","±20%","25","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_hightemp_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j1x8r1e684k125ac.pdf","CGA4J1X8R1E684K125AC Equiv. C2012X8R1E684K for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application","2.0mm x 1.25mm [EIA 0805]","1.45","680nF","±10%","25","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j1x8r1e684k125ad.pdf","CGA4J1X8R1E684K125AD Equiv. C2012X8R1E684K for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application Conductive Epoxy Application","2.0mm x 1.25mm [EIA 0805]","1.5","680nF","±10%","25","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j1x8r1e684k125ae.pdf","CGA4J1X8R1E684K125AE Equiv. C2012X8R1E684K for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application Soft Termination","2.0mm x 1.25mm [EIA 0805]","1.5","680nF","±10%","25","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_hightemp_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j1x8r1e684m125ac.pdf","CGA4J1X8R1E684M125AC Equiv. C2012X8R1E684M for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application","2.0mm x 1.25mm [EIA 0805]","1.45","680nF","±20%","25","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j1x8r1e684m125ad.pdf","CGA4J1X8R1E684M125AD Equiv. C2012X8R1E684M for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application Conductive Epoxy Application","2.0mm x 1.25mm [EIA 0805]","1.5","680nF","±20%","25","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j1x8r1e684m125ae.pdf","CGA4J1X8R1E684M125AE Equiv. C2012X8R1E684M for Auto","Production","TDK","Automotive Grade","AEC-Q200 High Temperature Application Soft Termination","2.0mm x 1.25mm [EIA 0805]","1.5","680nF","±20%","25","X8R","-55 to 150","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j2c0g1h223j125aa.pdf","CGA4J2C0G1H223J125AA Equiv. C2012C0G1H223J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","2.0mm x 1.25mm [EIA 0805]","1.45","22nF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j2c0g1h223j125ad.pdf","CGA4J2C0G1H223J125AD Equiv. C2012C0G1H223J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Conductive Epoxy Application","2.0mm x 1.25mm [EIA 0805]","1.5","22nF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j2c0g1h223j125ae.pdf","CGA4J2C0G1H223J125AE Equiv. C2012C0G1H223J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Soft Termination","2.0mm x 1.25mm [EIA 0805]","1.5","22nF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j2c0g1h333j125aa.pdf","CGA4J2C0G1H333J125AA Equiv. C2012C0G1H333J for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","2.0mm x 1.25mm [EIA 0805]","1.45","33nF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_epoxy_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j2c0g1h333j125ad.pdf","CGA4J2C0G1H333J125AD Equiv. C2012C0G1H333J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Conductive Epoxy Application","2.0mm x 1.25mm [EIA 0805]","1.5","33nF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga4j2c0g1h333j125ae.pdf","CGA4J2C0G1H333J125AE Equiv. C2012C0G1H333J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Soft Termination","2.0mm x 1.25mm [EIA 0805]","1.5","33nF","±5%","50","C0G","-55 to 125","0±30ppm/°C","YES"
